,data,timestamp
1044,"{'avgHighPrice': 4197, 'highPriceVolume': 6, 'avgLowPrice': 3886, 'lowPriceVolume': 4}",1651579200
10442,"{'avgHighPrice': 26009, 'highPriceVolume': 1, 'avgLowPrice': 8397, 'lowPriceVolume': 1}",1651579200
10446,"{'avgHighPrice': 26999, 'highPriceVolume': 1, 'avgLowPrice': 25006, 'lowPriceVolume': 4}",1651579200
10448,"{'avgHighPrice': 9947, 'highPriceVolume': 1, 'avgLowPrice': 7900, 'lowPriceVolume': 1}",1651579200
10450,"{'avgHighPrice': 17690, 'highPriceVolume': 2, 'avgLowPrice': 16003, 'lowPriceVolume': 2}",1651579200
10452,"{'avgHighPrice': 34159, 'highPriceVolume': 1, 'avgLowPrice': 26500, 'lowPriceVolume': 1}",1651579200
10454,"{'avgHighPrice': 17561, 'highPriceVolume': 2, 'avgLowPrice': 14549, 'lowPriceVolume': 2}",1651579200
10456,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 30000, 'lowPriceVolume': 3}",1651579200
10458,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 262000, 'lowPriceVolume': 1}",1651579200
1046,"{'avgHighPrice': 10000, 'highPriceVolume': 2, 'avgLowPrice': 9110, 'lowPriceVolume': 8}",1651579200
10460,"{'avgHighPrice': 201937, 'highPriceVolume': 2, 'avgLowPrice': 174000, 'lowPriceVolume': 1}",1651579200
10462,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 105691, 'lowPriceVolume': 1}",1651579200
10464,"{'avgHighPrice': 104434, 'highPriceVolume': 2, 'avgLowPrice': 100185, 'lowPriceVolume': 5}",1651579200
10466,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 86886, 'lowPriceVolume': 1}",1651579200
10468,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 102004, 'lowPriceVolume': 1}",1651579200
10472,"{'avgHighPrice': 9000, 'highPriceVolume': 1, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
10474,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 5873, 'lowPriceVolume': 1}",1651579200
10476,"{'avgHighPrice': 8294, 'highPriceVolume': 3360, 'avgLowPrice': 8000, 'lowPriceVolume': 1372}",1651579200
1048,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 3270, 'lowPriceVolume': 2}",1651579200
10496,"{'avgHighPrice': 987, 'highPriceVolume': 8, 'avgLowPrice': 910, 'lowPriceVolume': 1}",1651579200
105,"{'avgHighPrice': 1911, 'highPriceVolume': 7003, 'avgLowPrice': 1900, 'lowPriceVolume': 7595}",1651579200
1050,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 8001, 'lowPriceVolume': 1}",1651579200
1053,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 3220, 'lowPriceVolume': 8}",1651579200
1055,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 6001, 'lowPriceVolume': 6}",1651579200
10564,"{'avgHighPrice': 62490, 'highPriceVolume': 4, 'avgLowPrice': 59511, 'lowPriceVolume': 4}",1651579200
1057,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 4078, 'lowPriceVolume': 7}",1651579200
10589,"{'avgHighPrice': 31811, 'highPriceVolume': 4, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
1059,"{'avgHighPrice': 69, 'highPriceVolume': 12, 'avgLowPrice': 50, 'lowPriceVolume': 246}",1651579200
1061,"{'avgHighPrice': 50, 'highPriceVolume': 16, 'avgLowPrice': 43, 'lowPriceVolume': 231}",1651579200
1063,"{'avgHighPrice': 13, 'highPriceVolume': 44, 'avgLowPrice': 7, 'lowPriceVolume': 59}",1651579200
1065,"{'avgHighPrice': 1262, 'highPriceVolume': 145, 'avgLowPrice': 1275, 'lowPriceVolume': 413}",1651579200
1067,"{'avgHighPrice': 100, 'highPriceVolume': 130, 'avgLowPrice': 93, 'lowPriceVolume': 68}",1651579200
1069,"{'avgHighPrice': 465, 'highPriceVolume': 9, 'avgLowPrice': 404, 'lowPriceVolume': 18}",1651579200
107,"{'avgHighPrice': 2242, 'highPriceVolume': 12597, 'avgLowPrice': 2176, 'lowPriceVolume': 17}",1651579200
1071,"{'avgHighPrice': 1611, 'highPriceVolume': 4, 'avgLowPrice': 1430, 'lowPriceVolume': 28}",1651579200
1073,"{'avgHighPrice': 3463, 'highPriceVolume': 39, 'avgLowPrice': 3450, 'lowPriceVolume': 211}",1651579200
1075,"{'avgHighPrice': 244, 'highPriceVolume': 1, 'avgLowPrice': 144, 'lowPriceVolume': 21}",1651579200
1077,"{'avgHighPrice': 1311, 'highPriceVolume': 14, 'avgLowPrice': 1038, 'lowPriceVolume': 14}",1651579200
1079,"{'avgHighPrice': 38087, 'highPriceVolume': 82, 'avgLowPrice': 37822, 'lowPriceVolume': 1193}",1651579200
1081,"{'avgHighPrice': 222, 'highPriceVolume': 1, 'avgLowPrice': 52, 'lowPriceVolume': 21}",1651579200
10810,"{'avgHighPrice': 628, 'highPriceVolume': 124, 'avgLowPrice': 350, 'lowPriceVolume': 20}",1651579200
10812,"{'avgHighPrice': 850, 'highPriceVolume': 68, 'avgLowPrice': 670, 'lowPriceVolume': 2}",1651579200
10814,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 200, 'lowPriceVolume': 17}",1651579200
10818,"{'avgHighPrice': 500, 'highPriceVolume': 1, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
10820,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 581, 'lowPriceVolume': 16}",1651579200
10822,"{'avgHighPrice': 2668, 'highPriceVolume': 7, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
10824,"{'avgHighPrice': 465, 'highPriceVolume': 7, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
10826,"{'avgHighPrice': 2814, 'highPriceVolume': 14, 'avgLowPrice': 2755, 'lowPriceVolume': 4}",1651579200
10828,"{'avgHighPrice': 53335, 'highPriceVolume': 60, 'avgLowPrice': 52850, 'lowPriceVolume': 27}",1651579200
1083,"{'avgHighPrice': 396, 'highPriceVolume': 2, 'avgLowPrice': 394, 'lowPriceVolume': 1}",1651579200
1085,"{'avgHighPrice': 2200, 'highPriceVolume': 5, 'avgLowPrice': 1491, 'lowPriceVolume': 12}",1651579200
10891,"{'avgHighPrice': 1800, 'highPriceVolume': 61, 'avgLowPrice': 1800, 'lowPriceVolume': 9}",1651579200
109,"{'avgHighPrice': 1247, 'highPriceVolume': 1002, 'avgLowPrice': 1240, 'lowPriceVolume': 2051}",1651579200
1091,"{'avgHighPrice': 3998, 'highPriceVolume': 2, 'avgLowPrice': 3670, 'lowPriceVolume': 72}",1651579200
10925,"{'avgHighPrice': 33819, 'highPriceVolume': 72, 'avgLowPrice': 33404, 'lowPriceVolume': 639}",1651579200
10927,"{'avgHighPrice': 15219, 'highPriceVolume': 10, 'avgLowPrice': 14001, 'lowPriceVolume': 13}",1651579200
10929,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 16711, 'lowPriceVolume': 3}",1651579200
1093,"{'avgHighPrice': 37850, 'highPriceVolume': 27, 'avgLowPrice': 37838, 'lowPriceVolume': 185}",1651579200
10931,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 7751, 'lowPriceVolume': 3}",1651579200
10937,"{'avgHighPrice': 16090, 'highPriceVolume': 801, 'avgLowPrice': 15979, 'lowPriceVolume': 44}",1651579200
1095,"{'avgHighPrice': 7, 'highPriceVolume': 243, 'avgLowPrice': 7, 'lowPriceVolume': 64}",1651579200
10954,"{'avgHighPrice': 354, 'highPriceVolume': 1, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
10958,"{'avgHighPrice': 386, 'highPriceVolume': 2, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
1097,"{'avgHighPrice': 501, 'highPriceVolume': 4, 'avgLowPrice': 439, 'lowPriceVolume': 9}",1651579200
10973,"{'avgHighPrice': 58, 'highPriceVolume': 1, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
10981,"{'avgHighPrice': 819, 'highPriceVolume': 1, 'avgLowPrice': 801, 'lowPriceVolume': 47}",1651579200
1099,"{'avgHighPrice': 2223, 'highPriceVolume': 439, 'avgLowPrice': 2147, 'lowPriceVolume': 65}",1651579200
10999,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 750, 'lowPriceVolume': 6}",1651579200
1101,"{'avgHighPrice': 400, 'highPriceVolume': 20, 'avgLowPrice': 148, 'lowPriceVolume': 35}",1651579200
1103,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 80, 'lowPriceVolume': 55}",1651579200
11037,"{'avgHighPrice': 185767, 'highPriceVolume': 12, 'avgLowPrice': 181093, 'lowPriceVolume': 5}",1651579200
1105,"{'avgHighPrice': 287, 'highPriceVolume': 10, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
11061,"{'avgHighPrice': 2885, 'highPriceVolume': 4, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
11069,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 223, 'lowPriceVolume': 14429}",1651579200
11076,"{'avgHighPrice': 830, 'highPriceVolume': 510, 'avgLowPrice': 830, 'lowPriceVolume': 379}",1651579200
11079,"{'avgHighPrice': 880, 'highPriceVolume': 4, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
11085,"{'avgHighPrice': 1146, 'highPriceVolume': 73, 'avgLowPrice': 1097, 'lowPriceVolume': 10070}",1651579200
11088,"{'avgHighPrice': 1616, 'highPriceVolume': 2, 'avgLowPrice': 1241, 'lowPriceVolume': 218}",1651579200
1109,"{'avgHighPrice': 1101, 'highPriceVolume': 8, 'avgLowPrice': 1081, 'lowPriceVolume': 20}",1651579200
11090,"{'avgHighPrice': 2230, 'highPriceVolume': 155, 'avgLowPrice': 2154, 'lowPriceVolume': 352}",1651579200
11092,"{'avgHighPrice': 2012, 'highPriceVolume': 3573, 'avgLowPrice': 1933, 'lowPriceVolume': 10619}",1651579200
11095,"{'avgHighPrice': 2202, 'highPriceVolume': 3, 'avgLowPrice': 2192, 'lowPriceVolume': 1062}",1651579200
111,"{'avgHighPrice': 8379, 'highPriceVolume': 21, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
11105,"{'avgHighPrice': 12372, 'highPriceVolume': 5, 'avgLowPrice': 12163, 'lowPriceVolume': 9}",1651579200
1111,"{'avgHighPrice': 3100, 'highPriceVolume': 2, 'avgLowPrice': 2671, 'lowPriceVolume': 11}",1651579200
11113,"{'avgHighPrice': 12104, 'highPriceVolume': 6, 'avgLowPrice': 12104, 'lowPriceVolume': 157}",1651579200
11115,"{'avgHighPrice': 11942, 'highPriceVolume': 1764, 'avgLowPrice': 11903, 'lowPriceVolume': 340}",1651579200
11118,"{'avgHighPrice': 12510, 'highPriceVolume': 4, 'avgLowPrice': 12251, 'lowPriceVolume': 4}",1651579200
11126,"{'avgHighPrice': 12194, 'highPriceVolume': 28, 'avgLowPrice': 12158, 'lowPriceVolume': 815}",1651579200
11128,"{'avgHighPrice': 2272517, 'highPriceVolume': 6, 'avgLowPrice': 2222978, 'lowPriceVolume': 10}",1651579200
1113,"{'avgHighPrice': 29728, 'highPriceVolume': 149, 'avgLowPrice': 29433, 'lowPriceVolume': 651}",1651579200
11133,"{'avgHighPrice': 2343176, 'highPriceVolume': 7, 'avgLowPrice': 2300295, 'lowPriceVolume': 7}",1651579200
1115,"{'avgHighPrice': 124, 'highPriceVolume': 6, 'avgLowPrice': 101, 'lowPriceVolume': 325}",1651579200
1117,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 91, 'lowPriceVolume': 46}",1651579200
1119,"{'avgHighPrice': 943, 'highPriceVolume': 206, 'avgLowPrice': 920, 'lowPriceVolume': 189}",1651579200
11200,"{'avgHighPrice': 65303, 'highPriceVolume': 3, 'avgLowPrice': 53768, 'lowPriceVolume': 5}",1651579200
1121,"{'avgHighPrice': 2793, 'highPriceVolume': 1403, 'avgLowPrice': 2767, 'lowPriceVolume': 2431}",1651579200
11212,"{'avgHighPrice': 1575, 'highPriceVolume': 6299, 'avgLowPrice': 1545, 'lowPriceVolume': 18155}",1651579200
11229,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 2522, 'lowPriceVolume': 70}",1651579200
1123,"{'avgHighPrice': 9564, 'highPriceVolume': 863, 'avgLowPrice': 9530, 'lowPriceVolume': 29130}",1651579200
11230,"{'avgHighPrice': 2524, 'highPriceVolume': 12460, 'avgLowPrice': 2474, 'lowPriceVolume': 8549}",1651579200
11232,"{'avgHighPrice': 2936, 'highPriceVolume': 2410, 'avgLowPrice': 2931, 'lowPriceVolume': 10167}",1651579200
11234,"{'avgHighPrice': 2900, 'highPriceVolume': 200, 'avgLowPrice': None, 'lowPriceVolume': 0}",1651579200
11235,"{'avgHighPrice': 771052, 'highPriceVolume': 7, 'avgLowPrice': 761420, 'lowPriceVolume': 10}",1651579200
11237,"{'avgHighPrice': 1657, 'highPriceVolume': 733, 'avgLowPrice': 1631, 'lowPriceVolume': 11970}",1651579200
11238,"{'avgHighPrice': 1853, 'highPriceVolume': 3, 'avgLowPrice': 1983, 'lowPriceVolume': 42}",1651579200
11240,"{'avgHighPrice': None, 'highPriceVolume': 0, 'avgLowPrice': 4407, 'lowPriceVolume': 157}",1651579200
11242,"{'avgHighPrice': 4604, 'highPriceVolume': 411, 'avgLowPrice': 4437, 'lowPriceVolume': 3440}",1651579200
11244,"{'avgHighPrice': 1714, 'highPriceVolume': 107, 'avgLowPrice': 1709, 'lowPriceVolume': 20}",1651579200
11246,"{'avgHighPrice': 3700, 'highPriceVolume': 4, 'avgLowPrice': 3057, 'lowPriceVolume': 85}",1651579200
11248,"{'avgHighPrice': 5836, 'highPriceVolume': 4504, 'avgLowPrice': 5719, 'lowPriceVolume': 5398}",1651579200
1125,"{'avgHighPrice': 3078, 'highPriceVolume': 7, 'avgLowPrice': 2979, 'lowPriceVolume': 11}",1651579200
11250,"{'avgHighPrice': 6109, 'highPriceVolume': 38, 'avgLowPrice': 6090, 'lowPriceVolume': 1772}",1651579200
11252,"{'avgHighPrice': 23832, 'highPriceVolume': 48, 'avgLowPrice': 23708, 'lowPriceVolume': 1744}",1651579200
11254,"{'avgHighPrice': 41818, 'highPriceVolume': 168, 'avgLowPrice': 40300, 'lowPriceVolume': 168}",1651579200
